APT,NZCH,0,-43.4866,172.534
VOR,CH,400,-43.5041,172.515
FIX,VANDA,35000,-42.4218,169.344
FIX,SULON,35000,-39.8585,163
FIX,BOKED,35000,-37.5279,158.18600000000004
FIX,PLUGA,35000,-35.6074,154.68899999999996
FIX,CAWLY,35000,-34.3262,151.95799999999997
FIX,TESAT,35000,-33.9438,151.183
FIX,KADOM,35000,-33.7108,150.3
VOR,PKS,35000,-33.1311,148.23699999999997
FIX,MACLA,35000,-30.172600000000003,143.12400000000002
FIX,APOMA,35000,-29.897999999999996,142.68200000000002
FIX,POLEV,35000,-26.920299999999997,138.16899999999998
FIX,KALUG,35000,-25.900000000000006,136.72500000000002
VOR,AS,35000,-23.792900000000003,133.878
FIX,TIMMI,35000,-21.9225,130.65999999999997
FIX,TATUK,35000,-19.429299999999998,126.64600000000002
VOR,CIN,35000,-17.588899999999995,123.85199999999998
FIX,ATMAP,35000,-12,118.255
VOR,BLI,35000,-8.750569999999996,115.16300000000001
FIX,UDONO,35000,-7.004580000000004,113.89100000000002
FIX,RAMPY,35000,-6.250159999999994,113.346
FIX,SUMDI,35000,-4.6173200000000065,111.23000000000002
FIX,TAVIP,35000,-3.9643099999999976,110.38299999999998
FIX,RAFIS,35000,-2.8926900000000018,109.13599999999997
FIX,MASRI,35000,-2.4876100000000037,108.668
FIX,SAMSU,35000,-2.0536400000000015,108.16500000000002
FIX,RUSMA,35000,-1.3674699999999973,107.36900000000003
FIX,SURGA,35000,-0.615832999999995,106.52199999999999
FIX,ATPOM,21400,0.40694399999999575,105.35399999999998
APT,WSSS,0,1.3556099999999986,103.988
